File Name,Events,Total Entries,Total Exits,Total Writes,Total Reads,Total CFP,LOC,Gate Count,Circuit Width,Qubit Connectivity
Ali-hey-0_Qiskit\test\benchmarks\utils.py,6,2,2,4,0,8,308,2,1,0
Ali-hey-0_Qiskit\test\python\qpy\test_serialize_value_objects.py,1,1,1,0,0,2,43,1,1,0
AnuragBorisa_QuanMaths\Quantum Computing Basics (The Essentials)\3)Circuit Model & Programming Patterns\StateVectorvsCircuit.py,2,3,3,0,0,6,27,2,2,1
AnuragBorisa_QuanMaths\Quantum Computing Basics (The Essentials)\4)From Basics to QAOA-Ready\Ansatz\SingleQubitAnsatz.py,2,1,1,1,0,3,5,1,1,0
arnoop88_ftl_quantum\vqe.py,5,5,5,1,0,11,72,4,2,1
Arya-man12_cryptography\bob.py,5,4,4,2,0,10,45,3,2,1
Arya-man12_cryptography\eve.py,3,1,1,2,0,4,38,1,1,0
aryanraj65537_WildfireEconomicLoss\qca.py,2,2,2,0,0,4,32,2,2,0
ashwini56_etheftQML\app.py,36,46,46,2,0,94,248,34,7,9
backordinary_QDP-FSL\source\0\3_809fdd.py,3,1,1,2,0,4,97,1,1,0
backordinary_QDP-FSL\source\0\circuitvtc_3ec66e.py,4,3,3,1,0,7,391,3,1,0
backordinary_QDP-FSL\source\0\circuit_generation_4cde1d.py,2,0,0,2,0,2,285,0,0,0
backordinary_QDP-FSL\source\0\dicke_states_39cd3e.py,6,13,13,0,0,26,394,6,3,3
backordinary_QDP-FSL\source\0\es0_a5c854.py,8,5,5,4,0,14,91,4,2,1
backordinary_QDP-FSL\source\0\grover_458b1b.py,3,2,2,2,0,6,208,1,2,1
backordinary_QDP-FSL\source\0\listing5_2_25e3f1.py,2,0,0,2,0,2,49,0,0,0
backordinary_QDP-FSL\source\0\qiskit_factoring_15_db1442.py,9,16,16,1,0,33,160,8,4,5
backordinary_QDP-FSL\source\0\quantum_addition_aaa458.py,19,24,24,6,0,54,63,13,4,5
backordinary_QDP-FSL\source\0\quantum_coins_ibmq_belem_444567.py,3,0,0,3,0,3,21,0,0,0
backordinary_QDP-FSL\source\0\schedule_test_0cce5a.py,6,7,7,0,0,14,48,6,4,1
backordinary_QDP-FSL\source\0\state_maker_d85f3b.py,8,12,12,1,0,25,155,7,2,2
backordinary_QDP-FSL\source\0\superposition_4d61e9.py,3,0,0,3,0,3,48,0,0,0
backordinary_QDP-FSL\source\0\testing_556a99.py,2,3,3,0,0,6,8,2,2,1
backordinary_QDP-FSL\source\0\visualize_01cb72.py,8,9,9,0,0,18,81,8,3,1
balewski_quantumMind\Qiskit\OpenPulse\1d_circ2Q_hd5.py,7,8,8,0,0,16,85,7,5,1
balewski_quantumMind\Qiskit\toy_2023\explore_Grover-nclbit.py,2,0,0,2,0,2,293,0,0,0
balewski_quantumMind\Qiskit\toy_2023\remapQubits.py,8,9,9,1,0,19,80,7,4,2
balewski_quantumMind\Qiskit\toy_2023\2023\3_meas-error-local-external.py,3,0,0,3,0,3,138,0,0,0
bandisability_Quantum-teleportation-simulation\temp.py,5,4,4,2,0,10,130,3,3,1
BastienLaffon_workshop\src\scripts\covidcontact.py,2,2,2,0,0,4,93,2,2,0
Brionengine_Brion-Quantum-A.I.-General-System\QNNs.py,1,1,1,0,0,2,48,1,1,0
calebclothier_google-dtc\dtc.py,2,2,2,0,0,4,135,2,1,0
carlosgpal_qcpg\code-examples\qiskit\37_basic-fourier.py,4,4,4,1,0,9,9,3,2,1
clausia_tetromiq\src\quantum.py,11,8,8,4,0,20,95,7,2,1
const-sambird_dina\qnn.py,2,2,2,0,0,4,167,2,1,0
Cryoris_surfer\examples\partially_bound_circuit.py,2,2,2,0,0,4,19,2,1,0
dat-2k2_quantum-labs\using_circuit\bb84.py,4,4,4,0,0,8,103,4,1,0
dereklin1205_COMM_LAB_Final\qiskit-main\test\benchmarks\utils.py,6,2,2,4,0,8,308,2,1,0
dereklin1205_COMM_LAB_Final\qiskit-main\test\python\primitives\test_backend_estimator_v2.py,9,14,14,0,0,28,502,9,2,1
dereklin1205_COMM_LAB_Final\qiskit-main\test\python\qpy\test_serialize_value_objects.py,1,1,1,0,0,2,43,1,1,0
dereklin1205_COMM_LAB_Final\qiskit-main\test\python\visualization\test_dag_drawer.py,11,12,12,2,0,26,169,9,5,3
dhakalnirajan_Quantum-Computation\Lib\site-packages\mthree\circuits.py,5,0,0,5,0,5,99,0,1,0
DjeridiY_Quantum-Qiskit-Computing\src\algorithms\quantum_grover.py,3,2,2,1,0,5,152,2,1,0
Dpbm_qcop\ghz.py,1,1,1,0,0,2,33,1,1,0
EisaacJC_QMLTests\QNN\iris.py,2,2,2,0,0,4,63,2,1,0
EmmanueleVilla_quantum_tests\test_diffusion.py,22,69,69,2,0,140,287,20,10,37
epiqc_PartialCompilation\qiskit-aqua\qiskit\aqua\components\feature_maps\pauli_expansion.py,1,1,1,0,0,2,210,1,1,0
Erickk0_4.-Semester\QC\Praktikum\Aufgabe 1\Aufgabe 1.py,2,3,3,0,0,6,51,2,2,1
exo7math_quantum-exo7\ordinateur\python\qiskit_04_cours.py,5,5,5,1,0,11,29,4,2,1
FedeRepic_quantum-midi-py\quantum_rtmidi_png.py,6,6,6,2,0,14,186,4,8,2
fexed_Notes\UniPi_CSMaster_AI\IntroductiontoQuantumComputing\code\superdensecoding_example.py,8,8,8,2,0,18,26,6,2,1
Firepanda415_qla_lib\src\oracle_synth.py,9,12,12,0,0,24,825,9,2,1
GabrielPontolillo_qucheck\case_studies\quantum_teleportation\mutants\quantum_teleportation_m3.py,5,8,8,0,0,16,20,5,3,3
GabrielPontolillo_QuCheck_with_QOIN\case_studies\quantum_teleportation\mutants\quantum_teleportation_m3.py,5,8,8,0,0,16,20,5,3,3
geduardo_Q-Snake-Qiskitcamp-Europe-2019\main.py,2,1,1,1,0,3,93,1,1,0
